scenario,model,target,folds,mae_mean,mae_median,mae_worst_week,mae_std,rmse_mean,rmse_median,rmse_worst_week,rmse_std,bias_mean,bias_median,bias_worst_week,bias_std,coverage_mean,coverage_median,coverage_worst_week,coverage_std,sharpness_mean,sharpness_median,sharpness_worst_week,sharpness_std,weekly_score_mean,weekly_score_median,weekly_score_worst_week,weekly_score_std
databricks_only,seasonal_persistence,CH,12,1066.2113095238096,1070.1778273809523,1450.017857142857,276.3914580347412,1435.7657204989237,1442.046482425588,1976.1483659410064,359.50443453361413,-7.799851190476191,-73.6421130952381,867.0386904761905,601.6088706177518,0.7633928571428571,0.7767857142857143,0.6011904761904762,0.10407095943396347,3416.7619047619046,3449.398809523809,4303.9047619047615,603.777888301903,1066.2113095238096,1070.1778273809523,1450.017857142857,276.3914580347412
databricks_only,seasonal_persistence,DE,12,3858.5178571428573,3817.876488095238,5573.983630952381,1010.3123600826974,4626.095206321631,4558.871715672211,6243.89773280228,1131.092970963355,309.5892857142857,713.360119047619,3702.6785714285716,1635.544060180879,0.7455357142857143,0.8005952380952381,0.43452380952380953,0.18377223090411107,11807.950892857143,11723.46130952381,14198.779761904761,1512.9116490194772,3858.5178571428573,3817.876488095238,5573.983630952381,1010.3123600826974
databricks_only,seasonal_persistence,FR,12,3053.6458333333335,2732.520833333333,4465.264880952381,975.8492997094064,3702.9282847145278,3379.3056726590607,5438.336153143104,1131.247359993067,-627.9930555555555,-478.98214285714283,2328.3630952380954,1731.6783829223345,0.7916666666666666,0.8035714285714286,0.4523809523809524,0.17795860453541856,9915.35367063492,9927.625,11857.82142857143,1286.2732700058098,3053.6458333333335,2732.520833333333,4465.264880952381,975.8492997094064
databricks_only,seasonal_persistence,IT,12,930.6909722222222,736.5446428571429,2213.559523809524,529.3047318550787,1200.0098763157387,1026.7013806041177,2667.4599831871446,631.1014257172175,361.03224206349205,143.24107142857144,1891.0119047619048,750.4447348279894,0.8055555555555556,0.8809523809523809,0.5,0.18615404622022658,4006.3943452380954,4271.5922619047615,5924.952380952381,1247.3174485538798,930.6909722222222,736.5446428571429,2213.559523809524,529.3047318550787
databricks_only,ridge,CH,12,1251.4849494966875,1220.919623288517,1595.0116516194923,200.48466791382228,1572.0488605674109,1538.4723728768029,1947.0215759487855,218.13539244405135,35.12610532233547,103.73737027384746,900.6074366330836,480.0457869781737,0.7415674603174603,0.7678571428571429,0.5119047619047619,0.1032544619969162,3416.7425595238096,3449.395833333333,4303.892857142857,603.7674470428859,1251.4849494966875,1220.919623288517,1595.0116516194923,200.48466791382228
databricks_only,ridge,DE,12,2926.2950695673658,3160.307179983586,4151.138161006212,700.115143404988,3555.444087482281,3783.5211454653413,4910.812226820216,801.5111314943576,1205.3618748386125,1625.6478979060241,3020.636965945919,1378.091742719324,0.9156746031746031,0.9434523809523809,0.6488095238095238,0.0941415460911298,11807.932539682539,11723.458333333332,14198.761904761905,1512.878005640166,2926.2950695673658,3160.307179983586,4151.138161006212,700.115143404988
databricks_only,ridge,FR,12,3161.636620349286,2702.681812070141,5124.353482119932,1080.5401299031655,3762.2633135136175,3262.4788458805474,5836.401132395158,1229.9490594855358,-1902.576039959564,-1772.4656890177787,1497.5955951307114,2055.465503346757,0.8382936507936508,0.8422619047619048,0.5178571428571429,0.14229455470896848,9915.35615079365,9927.577380952382,11857.875,1286.2769128157981,3161.636620349286,2702.681812070141,5124.353482119932,1080.5401299031655
databricks_only,ridge,IT,12,1259.341577822231,1299.991986557998,1990.5299787479198,380.35597429408034,1507.9967680519567,1414.2919463890591,2089.135276798836,280.1425904469573,534.5655243266427,985.1893410043256,1703.54534698508,1009.2116643267045,0.8660714285714286,0.8869047619047619,0.5714285714285714,0.12365823708671946,4006.3943452380954,4271.5922619047615,5924.952380952381,1247.3174485538798,1259.341577822231,1299.991986557998,1990.5299787479198,380.35597429408034
databricks_only,hist_gradient_boosting,CH,12,1202.3286068457285,1213.7553998026679,1611.9796988980893,227.07715687030847,1557.2776660144575,1527.606521395237,2014.2237614394148,259.09766529695327,-135.0939523878541,-68.89288316902669,504.0608516337406,445.28694603937805,0.7534722222222222,0.7738095238095238,0.5059523809523809,0.10723811719094854,3416.7445436507937,3449.3958333333335,4303.863095238095,603.7851064927667,1202.3286068457285,1213.7553998026679,1611.9796988980893,227.07715687030847
databricks_only,hist_gradient_boosting,DE,12,2973.016931867177,3009.0934812563746,4317.872742196917,730.4686286601396,3628.1426375752126,3654.8188077751647,5182.784116638874,826.0407314807815,1282.544277232621,1779.4276253646226,3399.0493481028852,1451.9802024696348,0.9032738095238095,0.9345238095238095,0.6071428571428571,0.10278634785314957,11807.927083333334,11723.464285714286,14198.577380952382,1512.8797097368915,2973.016931867177,3009.0934812563746,4317.872742196917,730.4686286601396
databricks_only,hist_gradient_boosting,FR,12,3331.021736826784,2821.2436439409958,5491.899064695851,1216.5934408843423,3945.5413251456557,3343.847595590498,6207.899437775152,1347.1743542916124,-1995.114711691427,-1895.5662788005602,2424.1818052310796,2299.2154174551083,0.8110119047619048,0.8244047619047619,0.5357142857142857,0.15346151243657064,9915.337797619048,9927.553571428572,11857.863095238095,1286.2789525165072,3331.021736826784,2821.2436439409958,5491.899064695851,1216.5934408843423
databricks_only,hist_gradient_boosting,IT,12,1237.6874943941139,1270.8154620721298,1846.4508712340837,384.518188595724,1488.9551161361126,1400.6427029098163,1941.6761013783882,270.17075483437463,539.1113227510784,883.8015675660072,1652.8699589170346,975.0607188090845,0.8487103174603174,0.8958333333333334,0.4880952380952381,0.1594130585205721,4006.3943452380954,4271.5922619047615,5924.952380952381,1247.3174485538798,1237.6874943941139,1270.8154620721298,1846.4508712340837,384.518188595724
databricks_plus_lseg,seasonal_persistence,CH,12,1066.2113095238096,1070.1778273809523,1450.017857142857,276.3914580347412,1435.7657204989237,1442.046482425588,1976.1483659410064,359.50443453361413,-7.799851190476191,-73.6421130952381,867.0386904761905,601.6088706177518,0.7633928571428571,0.7767857142857143,0.6011904761904762,0.10407095943396347,3416.7619047619046,3449.398809523809,4303.9047619047615,603.777888301903,1066.2113095238096,1070.1778273809523,1450.017857142857,276.3914580347412
databricks_plus_lseg,seasonal_persistence,DE,12,3858.5178571428573,3817.876488095238,5573.983630952381,1010.3123600826974,4626.095206321631,4558.871715672211,6243.89773280228,1131.092970963355,309.5892857142857,713.360119047619,3702.6785714285716,1635.544060180879,0.7455357142857143,0.8005952380952381,0.43452380952380953,0.18377223090411107,11807.950892857143,11723.46130952381,14198.779761904761,1512.9116490194772,3858.5178571428573,3817.876488095238,5573.983630952381,1010.3123600826974
databricks_plus_lseg,seasonal_persistence,FR,12,3053.6458333333335,2732.520833333333,4465.264880952381,975.8492997094064,3702.9282847145278,3379.3056726590607,5438.336153143104,1131.247359993067,-627.9930555555555,-478.98214285714283,2328.3630952380954,1731.6783829223345,0.7916666666666666,0.8035714285714286,0.4523809523809524,0.17795860453541856,9915.35367063492,9927.625,11857.82142857143,1286.2732700058098,3053.6458333333335,2732.520833333333,4465.264880952381,975.8492997094064
databricks_plus_lseg,seasonal_persistence,IT,12,930.6909722222222,736.5446428571429,2213.559523809524,529.3047318550787,1200.0098763157387,1026.7013806041177,2667.4599831871446,631.1014257172175,361.03224206349205,143.24107142857144,1891.0119047619048,750.4447348279894,0.8055555555555556,0.8809523809523809,0.5,0.18615404622022658,4006.3943452380954,4271.5922619047615,5924.952380952381,1247.3174485538798,930.6909722222222,736.5446428571429,2213.559523809524,529.3047318550787
databricks_plus_lseg,ridge,CH,12,1252.4612273489427,1221.2193307300574,1597.4606683768543,201.21476487172762,1573.1580243896208,1539.1042487206741,1954.285346165298,219.29994953618055,34.845924742920666,103.75616480774687,903.6083567950368,483.00426302403406,0.7405753968253969,0.7619047619047619,0.5119047619047619,0.10305410202139764,3416.7693452380954,3449.407738095238,4303.922619047619,603.7587232008807,1252.4612273489427,1221.2193307300574,1597.4606683768543,201.21476487172762
databricks_plus_lseg,ridge,DE,12,2919.8645297679345,3146.4697973220837,4148.72055361745,698.6925494360634,3545.8417735447165,3769.4316363551893,4905.635549067636,799.5485048990523,1191.076678764211,1576.2799838966937,3013.667432779863,1370.9311872841763,0.9171626984126984,0.9434523809523809,0.6488095238095238,0.09472388257367403,11807.94742063492,11723.479166666668,14198.708333333334,1512.8958089038347,2919.8645297679345,3146.4697973220837,4148.72055361745,698.6925494360634
databricks_plus_lseg,ridge,FR,12,3153.509422364091,2732.463699451054,5064.814252911033,1054.8407259445066,3755.17848706522,3298.1303629279773,5781.600518422132,1203.482648166391,-1868.1417889544869,-1791.654739899628,1570.92763146607,2061.4309645281833,0.839781746031746,0.8422619047619048,0.5119047619047619,0.1428872804960736,9915.354166666666,9927.598214285714,11857.869047619048,1286.2812268003652,3153.509422364091,2732.463699451054,5064.814252911033,1054.8407259445066
